,num_barcodes,barcode_length_in_aa,num_oligos,is_capped
8188,5,3,9397.0,False
8189,5,4,136165.0,False
8190,1,1,17.0,False
8191,1,2,418.0,False
8192,1,3,19872.0,False
8193,1,4,555652.0,False
8194,1,5,10000000.0,True
8195,3,1,21.0,False
8196,3,2,212.0,False
8197,3,3,7265.0,False
8198,3,4,368284.0,False
8199,5,1,13.0,False
8200,5,2,314.0,False
8201,5,3,10459.0,False
8202,5,4,337456.0,False
8203,1,1,31.0,False
8204,1,2,272.0,False
8205,1,3,15899.0,False
8206,1,4,287195.0,False
8207,1,5,10000000.0,True
8208,3,1,3.0,False
8209,3,2,365.0,False
8210,3,3,6610.0,False
8211,3,4,570830.0,False
8212,5,1,7.0,False
8213,5,2,399.0,False
8214,5,3,10334.0,False
8215,5,4,379925.0,False
8216,1,1,26.0,False
8217,1,2,508.0,False
8218,1,3,13241.0,False
8219,1,4,504480.0,False
8220,1,5,10000000.0,True
8221,3,1,12.0,False
8222,3,2,332.0,False
8223,3,3,11125.0,False
8224,3,4,306391.0,False
8225,5,1,17.0,False
8226,5,2,226.0,False
8227,5,3,14748.0,False
8228,5,4,390486.0,False
8229,1,1,30.0,False
8230,1,2,664.0,False
8231,1,3,10613.0,False
8232,1,4,149163.0,False
8233,1,5,10000000.0,True
8234,3,1,7.0,False
8235,3,2,549.0,False
8236,3,3,15673.0,False
8237,3,4,239922.0,False
8238,5,1,8.0,False
8239,5,2,375.0,False
8240,5,3,14150.0,False
8241,5,4,257040.0,False
8242,1,1,5.0,False
8243,1,2,604.0,False
8244,1,3,18928.0,False
8245,1,4,386880.0,False
8246,1,5,10000000.0,True
8247,3,1,12.0,False
8248,3,2,149.0,False
8249,3,3,8241.0,False
8250,3,4,221542.0,False
8251,5,1,13.0,False
8252,5,2,270.0,False
8253,5,3,12102.0,False
8254,5,4,324350.0,False
8255,1,1,16.0,False
8256,1,2,502.0,False
8257,1,3,10289.0,False
8258,1,4,253855.0,False
8259,1,5,10000000.0,True
8260,3,1,13.0,False
8261,3,2,58.0,False
8262,3,3,10786.0,False
8263,3,4,519272.0,False
8264,5,1,1.0,False
8265,5,2,208.0,False
8266,5,3,8078.0,False
8267,5,4,425044.0,False
8268,1,1,26.0,False
8269,1,2,574.0,False
8270,1,3,7492.0,False
8271,1,4,395750.0,False
8272,1,5,10000000.0,True
8273,3,1,12.0,False
8274,3,2,417.0,False
8275,3,3,5940.0,False
8276,3,4,549037.0,False
8277,5,1,4.0,False
8278,5,2,334.0,False
8279,5,3,3941.0,False
8280,5,4,86787.0,False
8281,1,1,21.0,False
8282,1,2,764.0,False
8283,1,3,17650.0,False
8284,1,4,334642.0,False
8285,1,5,10000000.0,True
8286,3,1,12.0,False
8287,3,2,443.0,False
8288,3,3,11867.0,False
8289,3,4,408221.0,False
8290,5,1,11.0,False
8291,5,2,157.0,False
8292,5,3,8478.0,False
8293,5,4,364160.0,False
8294,1,1,10.0,False
8295,1,2,365.0,False
8296,1,3,15049.0,False
8297,1,4,514716.0,False
8298,1,5,10000000.0,True
8299,3,1,11.0,False
8300,3,2,350.0,False
8301,3,3,10654.0,False
8302,3,4,401962.0,False
8303,5,1,20.0,False
8304,5,2,339.0,False
8305,5,3,2875.0,False
8306,5,4,369546.0,False
8307,1,1,30.0,False
8308,1,2,484.0,False
8309,1,3,4286.0,False
8310,1,4,379363.0,False
8311,1,5,10000000.0,True
8312,3,1,8.0,False
8313,3,2,491.0,False
8314,3,3,13595.0,False
8315,3,4,372696.0,False
8316,5,1,6.0,False
8317,5,2,239.0,False
8318,5,3,4445.0,False
8319,5,4,352374.0,False
8320,1,1,14.0,False
8321,1,2,320.0,False
8322,1,3,18261.0,False
8323,1,4,551441.0,False
8324,1,5,10000000.0,True
8325,3,1,14.0,False
8326,3,2,187.0,False
8327,3,3,11387.0,False
8328,3,4,190914.0,False
8329,5,1,11.0,False
8330,5,2,188.0,False
8331,5,3,7269.0,False
8332,5,4,333264.0,False
8333,1,1,12.0,False
8334,1,2,149.0,False
8335,1,3,19792.0,False
8336,1,4,395301.0,False
8337,1,5,10000000.0,True
8338,3,1,9.0,False
8339,3,2,129.0,False
8340,3,3,14249.0,False
8341,3,4,199365.0,False
8342,5,1,9.0,False
8343,5,2,225.0,False
8344,5,3,7403.0,False
8345,5,4,306483.0,False
8346,1,1,21.0,False
8347,1,2,644.0,False
8348,1,3,21680.0,False
8349,1,4,221562.0,False
8350,1,5,10000000.0,True
8351,3,1,22.0,False
8352,3,2,296.0,False
8353,3,3,8085.0,False
8354,3,4,524624.0,False
8355,5,1,6.0,False
8356,5,2,159.0,False
8357,5,3,7992.0,False
8358,5,4,360883.0,False
8359,1,1,23.0,False
8360,1,2,325.0,False
8361,1,3,17371.0,False
8362,1,4,140538.0,False
8363,1,5,10000000.0,True
8364,3,1,8.0,False
8365,3,2,441.0,False
8366,3,3,12775.0,False
8367,3,4,364693.0,False
8368,5,1,15.0,False
8369,5,2,333.0,False
8370,5,3,9271.0,False
8371,5,4,262620.0,False
8372,1,1,19.0,False
8373,1,2,446.0,False
8374,1,3,15608.0,False
8375,1,4,711719.0,False
8376,1,5,10000000.0,True
8377,3,1,10.0,False
8378,3,2,422.0,False
8379,3,3,10185.0,False
8380,3,4,224567.0,False
8381,5,1,12.0,False
8382,5,2,175.0,False
8383,5,3,9223.0,False
8384,5,4,250694.0,False
8385,1,1,14.0,False
8386,1,2,548.0,False
8387,1,3,5706.0,False
8388,1,4,567052.0,False
8389,1,5,10000000.0,True
8390,3,1,15.0,False
8391,3,2,584.0,False
8392,3,3,13415.0,False
8393,3,4,458192.0,False
8394,5,1,6.0,False
8395,5,2,67.0,False
8396,5,3,11395.0,False
8397,5,4,355205.0,False
8398,1,1,30.0,False
8399,1,2,640.0,False
8400,1,3,17542.0,False
8401,1,4,219857.0,False
8402,1,5,10000000.0,True
8403,3,1,18.0,False
8404,3,2,377.0,False
8405,3,3,5236.0,False
8406,3,4,535155.0,False
8407,5,1,13.0,False
8408,5,2,175.0,False
8409,5,3,11648.0,False
8410,5,4,304132.0,False
8411,1,1,23.0,False
8412,1,2,433.0,False
8413,1,3,15475.0,False
8414,1,4,639006.0,False
8415,1,5,10000000.0,True
8416,3,1,10.0,False
8417,3,2,383.0,False
8418,3,3,7361.0,False
8419,3,4,221336.0,False
8420,5,1,10.0,False
8421,5,2,211.0,False
8422,5,3,6988.0,False
8423,5,4,292691.0,False
8424,1,1,26.0,False
8425,1,2,286.0,False
8426,1,3,14890.0,False
8427,1,4,564397.0,False
8428,1,5,10000000.0,True
8429,3,1,6.0,False
8430,3,2,166.0,False
8431,3,3,5647.0,False
8432,3,4,281350.0,False
8433,5,1,11.0,False
8434,5,2,266.0,False
8435,5,3,11761.0,False
8436,5,4,138882.0,False
8437,1,1,24.0,False
8438,1,2,408.0,False
8439,1,3,13952.0,False
8440,1,4,342481.0,False
8441,1,5,10000000.0,True
8442,3,1,20.0,False
8443,3,2,236.0,False
8444,3,3,11123.0,False
8445,3,4,289568.0,False
8446,5,1,8.0,False
8447,5,2,243.0,False
8448,5,3,10666.0,False
8449,5,4,348938.0,False
8450,1,1,20.0,False
8451,1,2,634.0,False
8452,1,3,15551.0,False
8453,1,4,535196.0,False
8454,1,5,10000000.0,True
8455,3,1,11.0,False
8456,3,2,273.0,False
8457,3,3,13107.0,False
8458,3,4,267780.0,False
8459,5,1,11.0,False
8460,5,2,323.0,False
8461,5,3,6725.0,False
8462,5,4,278085.0,False
8463,1,1,11.0,False
8464,1,2,606.0,False
8465,1,3,13686.0,False
8466,1,4,267144.0,False
8467,1,5,10000000.0,True
